,total,paid_total,balance,breakdowns_labor_0_hours,breakdowns_labor_0_rate,breakdowns_material_0_rate,Slug,Total,Labor0Breakdown_quantity0total0,Labor0Breakdown_hourstotal,Labor0Breakdown_ratetotal,target
174,-1200.0,-1200.0,0.0,0.0,0.0,0.0,381.0,-1200.0,0.0,0.0,0.0,0
175,2640.0,2640.0,0.0,0.0,0.0,0.0,387.0,2640.0,0.0,0.0,0.0,0
178,15275.0,15275.0,0.0,0.0,0.0,0.0,410.0,15275.0,0.0,0.0,0.0,0
179,8820.0,8820.0,0.0,0.0,0.0,0.0,411.0,8820.0,0.0,0.0,0.0,0
182,-6200.0,-6200.0,0.0,0.0,0.0,0.0,414.0,-6200.0,0.0,0.0,0.0,0
183,5155.0,5155.0,0.0,0.0,0.0,0.0,415.0,5155.0,0.0,0.0,0.0,0
184,32000.0,32000.0,0.0,0.0,0.0,0.0,416.0,32000.0,0.0,0.0,0.0,0
189,-7565.0,-7565.0,0.0,0.0,0.0,0.0,443.0,-7565.0,0.0,0.0,0.0,0
194,-1980.0,-1980.0,0.0,0.0,0.0,0.0,471.0,-1980.0,0.0,0.0,0.0,0
197,1200.0,1200.0,0.0,0.0,0.0,0.0,489.0,1200.0,0.0,0.0,0.0,0
201,15975.0,15975.0,0.0,0.0,0.0,0.0,499.0,15975.0,0.0,0.0,0.0,0
202,47100.0,47100.0,0.0,0.0,0.0,0.0,501.0,47100.0,0.0,0.0,0.0,0
203,6800.0,6800.0,0.0,0.0,0.0,0.0,503.0,6800.0,0.0,0.0,0.0,0
204,1975.0,1975.0,0.0,13.0,0.0,0.0,505.0,1975.0,1.0,13.0,0.0,0
206,550.0,550.0,0.0,10.0,0.0,0.0,508.0,550.0,1.0,10.0,0.0,0
207,750.0,750.0,0.0,10.0,0.0,0.0,509.0,750.0,2.0,14.0,0.0,0
208,8243.0,8243.0,0.0,0.0,0.0,0.0,511.0,8243.0,0.0,0.0,0.0,0
209,13474.0,13474.0,0.0,0.0,0.0,0.0,512.0,13474.0,0.0,0.0,0.0,0
211,735.0,735.0,0.0,7.0,0.0,0.0,514.0,735.0,2.0,14.0,0.0,0
212,4294.0,4294.0,0.0,0.0,0.0,0.0,521.0,4294.0,0.0,0.0,0.0,0
213,2600.0,2600.0,0.0,7.0,0.0,0.0,534.0,2600.0,2.0,7.0,0.0,0
